error_message,input_borough,input_hnum,input_street,uid
ADDRESS NUMBER OUT OF RANGE ,Bronx,881,MORRIS AVENUE,200692759
ADDRESS NUMBER OUT OF RANGE ,Bronx,885,MORRIS AVENUE,200692731
ADDRESS NUMBER OUT OF RANGE ,Bronx,3627,OXFORD AVENUE,200776473
ADDRESS NUMBER OUT OF RANGE ,Bronx,1076,SOUTHERN BOULEVARD,200800990
ADDRESS NUMBER OUT OF RANGE ,Bronx,543,EAST 181 STREET,200801203
ADDRESS NUMBER OUT OF RANGE ,Bronx,3629,OXFORD AVENUE,200776455
ADDRESS NUMBER OUT OF RANGE ,Bronx,3627,OXFORD AVENUE,200776446
ADDRESS NUMBER OUT OF RANGE ,Bronx,3601,WHITE PLAINS ROAD,201066639
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1247,EAST 92 STREET,301010064
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,533,BROOKLYN AVENUE,301476427
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,533,BROOKLYN AVENUE,301476436
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,533,BROOKLYN AVENUE,301476418
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1402,OCEAN PARKWAY,302023940
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,461,PACIFIC STREET,321005862
ADDRESS NUMBER OUT OF RANGE ,Manhattan,278,3 AVENUE,104939024
ADDRESS NUMBER OUT OF RANGE ,Bronx,555,BRYANT AVE,220121446
ADDRESS NUMBER OUT OF RANGE ,Queens,82-10,157TH AVENUE,421417951
ADDRESS NUMBER OUT OF RANGE ,Bronx,630,CITY ISLAND AVENUE,220635640
ADDRESS NUMBER OUT OF RANGE ,Queens,76-11,BLAKE AVENUE,410223556
ADDRESS NUMBER OUT OF RANGE ,Bronx,1132,WASHINGTON AVENUE,220344731
ADDRESS NUMBER OUT OF RANGE ,Queens,46-35,162 STREET,401705712
ADDRESS NUMBER OUT OF RANGE ,Bronx,15,MAJOR DEEGAN EXPRESSWAY,201124201
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,51,EAST 51 STREET,322061344
ADDRESS NUMBER OUT OF RANGE ,Queens,128-13A,145 STREET,410138756
ADDRESS NUMBER OUT OF RANGE ,Bronx,4463,WHITE PLAINS ROAD,210039037
ADDRESS NUMBER OUT OF RANGE ,Bronx,3311,3RD AVE,220143967
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,129A,WEST END AVENUE,302362903
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,129B,WEST END AVENUE,302364368
ADDRESS NUMBER OUT OF RANGE ,Queens,31-36,137 STREET,402413633
ADDRESS NUMBER OUT OF RANGE ,Queens,150-13,6 AVENUE,402465578
ADDRESS NUMBER OUT OF RANGE ,Queens,132-20,41 AVENUE,402675226
ADDRESS NUMBER OUT OF RANGE ,Queens,31-33,30 ST,421385904
ADDRESS NUMBER OUT OF RANGE ,Staten Island,38,CAMERON AVENUE,500531061
ADDRESS NUMBER OUT OF RANGE ,Staten Island,17,OCEAN AVENUE,500514936
ADDRESS NUMBER OUT OF RANGE ,Staten Island,156,BIONIA AVENUE,500514945
ADDRESS NUMBER OUT OF RANGE ,Staten Island,91,COLUMBUS AVENUE,500514972
ADDRESS NUMBER OUT OF RANGE ,Queens,188-20,WOODHULL AVENUE,421083286
ADDRESS NUMBER OUT OF RANGE ,Bronx,2015 REAR,VYSE AVENUE,220534991
ADDRESS NUMBER OUT OF RANGE ,Bronx,200,FORDHAM STREET,220145359
ADDRESS NUMBER OUT OF RANGE ,Bronx,200,FORDHAM STREET,220145368
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,167,SOUTH PORTLAND AVENUE,320869832
ADDRESS NBR 631 GARAGEE  HAS AN UNKNOWN OR INVALID SUFFIX/ENDING. ,Brooklyn,631 GARAGEE,EAST 18TH STREET,321265698
ADDRESS NUMBER OUT OF RANGE ,Queens,2222,LORETTA ROAD,420243613
'ST JOHN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Staten Island,140,ST JOHN''S AVENUE,510070637
ADDRESS NUMBER OUT OF RANGE ,Staten Island,209,CANAL STREET,520072377
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,622,ATLANTIC AVENUE,302311996
ADDRESS NUMBER OUT OF RANGE ,Staten Island,385B,ALTER AVENUE,520361368
ADDRESS NUMBER OUT OF RANGE ,Queens,36-17,193 STREET,421676010
ADDRESS NUMBER OUT OF RANGE ,Queens,88-12,192ND STREET,421927311
ADDRESS NUMBER OUT OF RANGE ,Staten Island,23,HELENA ROAD,520367898
ADDRESS NUMBER OUT OF RANGE ,Queens,211-57,94 ROAD,401599187
ADDRESS NUMBER OUT OF RANGE ,Queens,97-24,95 STREET,421722372
ADDRESS NUMBER OUT OF RANGE ,Queens,80-26,COOPER AVENUE,401847622
ADDRESS NUMBER OUT OF RANGE ,Queens,106-17,50 AVENUE,401980219
ADDRESS NUMBER OUT OF RANGE ,Bronx,3294,CAMPBELL DRIVE,220687433
ADDRESS NUMBER OUT OF RANGE ,Queens,42-12,216 STREET,402271180
ADDRESS NUMBER OUT OF RANGE ,Queens,23-29,31 ROAD,402272116
ADDRESS NUMBER OUT OF RANGE ,Queens,172-12,HENLEY ROAD,402311878
ADDRESS NUMBER OUT OF RANGE ,Queens,172-12,HENLEY ROAD,402311887
ADDRESS NUMBER OUT OF RANGE ,Queens,108-50,37 DRIVE,402308329
THIS STREET HAS NO ADDRESSES ,Queens,4,GROVE COURT,402189555
ADDRESS NUMBER OUT OF RANGE ,Staten Island,88,ST ALBANS PLACE,500753721
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1033,LAMONT AVENUE,500658816
ADDRESS NUMBER OUT OF RANGE ,Queens,88-20,PITKIN AVENUE,402484799
ADDRESS NUMBER OUT OF RANGE ,Staten Island,255,TOMPKINS AVENUE,500848817
ADDRESS NUMBER OUT OF RANGE ,Staten Island,63,BEDELL AVENUE,500843983
ADDRESS NUMBER OUT OF RANGE ,Staten Island,119,SWAN STREET,500824655
ADDRESS NUMBER OUT OF RANGE ,Staten Island,117,SWAN STREET,500824664
ADDRESS NUMBER OUT OF RANGE ,Staten Island,63,BEDELL AVENUE,500843992
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1653,RICHMOND ROAD,500857478
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1653,RICHMOND ROAD,500857469
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1490,RICHMOND TERRACE,500863951
ADDRESS NUMBER OUT OF RANGE ,Staten Island,2,NORTH BURGHER AVENUE,500863942
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1,WAYNE TERRACE,500864059
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1,MARKHAM DRIVE,500863906
ADDRESS NUMBER OUT OF RANGE ,Staten Island,90,WAYNE TERRACE,500863915
ADDRESS NUMBER OUT OF RANGE ,Staten Island,71,WAYNE COURT,500863997
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,38,WATER STREET,320489887
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2054,WEST 6 STREET,301498010
ADDRESS NUMBER OUT OF RANGE ,Bronx,3225,TIEMANN AVENUE,201051468
ADDRESS NUMBER OUT OF RANGE ,Queens,66-41,79 PLACE,401582131
ADDRESS NUMBER OUT OF RANGE ,Bronx,6000,PALISADE AVENUE,220669015
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3523,NEWKIRK AVENUE,302200598
ADDRESS NUMBER OUT OF RANGE ,Queens,222-40,JAMAICA AVENUE,401323448
ADDRESS NUMBER OUT OF RANGE ,Manhattan,392,2 AVENUE,102835023
ADDRESS NUMBER OUT OF RANGE ,Manhattan,999,2 AVENUE,104294559
ADDRESS NUMBER OUT OF RANGE ,Staten Island,518,BRADFORD AVENUE,520001630
ADDRESS NUMBER OUT OF RANGE ,Queens,1520,PINE COURT,420015913
ADDRESS NUMBER OUT OF RANGE ,Bronx,889,EAST 242 STREET,200645935
ADDRESS NUMBER OUT OF RANGE ,Manhattan,35,WEST 56 STREET,104535969
ADDRESS NUMBER OUT OF RANGE ,Bronx,342,EAST 242 STREET,200776197
ADDRESS NUMBER OUT OF RANGE ,Bronx,4314,PARK AVENUE,201061643
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,174B,VERONICA PLACE,301619167
ADDRESS NUMBER OUT OF RANGE ,Bronx,895,MELROSE AVENUE,210055857
